phase	root_count	entry_count	logical_bytes	inventory_sha256
pre	1	1	4132	7066aaba3cf0ed8e6e50ba4a6473009b6a46d32f2801743a096f26752aeec956
post	1	1	4132	7066aaba3cf0ed8e6e50ba4a6473009b6a46d32f2801743a096f26752aeec956
unpacked	1	1	4132	7066aaba3cf0ed8e6e50ba4a6473009b6a46d32f2801743a096f26752aeec956
