2026-07-31T07:35:25Z	rtl-naming-migration	PASS	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/evidence/naming-migration.json
2026-07-31T07:35:31Z	focused-axi-crossbar-tb	PASS	.github/runtime-artifacts/agent-flow/rv64-axi-xbar-naming-refresh/rtl-focused/summary.txt
2026-07-31T07:35:36Z	current-holder-instance-graph	PASS	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/evidence/current-holder-instance-graph/holder-instance-graph.json
2026-07-31T07:35:40Z	verilator-lint-and-rtl-contract	PASS	-
2026-07-31T07:35:44Z	historical-ifu-source-binding	GAP	npc/rv64/eval/ppa/evidence/ifu-access-current.json
2026-07-31T08:01:29Z	focused-axi-crossbar-tb-retained	PASS	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/evidence/focused-axi-crossbar/summary.txt
2026-07-31T08:01:35Z	naming-migration-replay	PASS	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/run-naming-migration-replay.sh
2026-07-31T08:01:43Z	rtl-style-exact-name-self-test	PASS	npc/rv64/eval/tests/test-check-rtl-style.sh
2026-07-31T08:01:48Z	arch-stable-after-naming	GAP	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/evidence/arch-stable-after-review-fix.json
2026-07-31T08:09:33Z	independent-review-v2	PASS	.github/task-runs/2026-07-31-rv64-axi-xbar-naming-refresh/dispatch-log.md
