software-flow-contract	software-flow	software-flow	PASS	software-flow agent + profile + memory	软件开发全流程 agent 合约入口存在	.github/task-runs/2026-06-23-2026-06-23-nemu-full-anacron-contract/evidence/software-flow-contract.log
nemu-ubuntu-static	nemu	nemu	PASS	Linux/NEMU Ubuntu rootfs scripts + performance config	NEMU Ubuntu 切片静态生产守门 PASS	.github/task-runs/2026-06-23-2026-06-23-nemu-full-anacron-contract/evidence/nemu-ubuntu-static.log
