group	top_level_paths	tar_entries	archive_bytes
t3b	16	132	4175977
t3c	2	3	199778
t3d	3	7	29211
t3e	4	6	13255
t3f	22	288	26569412
t3g	7	225	27019588
t3h	15	92	138724
t3-baseline	1	1	30185
