bytes	type	mtime	source
263	directory	2026-07-12 21:55:08.294116289 +0800	/tmp/ifu-g1-rereview-results
1808660	directory	2026-07-12 21:48:53.067619419 +0800	/tmp/ifu-g1-review-build
175745	directory	2026-07-12 21:48:53.135122770 +0800	/tmp/ifu-g1-review-logs
261	directory	2026-07-12 21:48:53.135122770 +0800	/tmp/ifu-g1-review-results
78	regular file	2026-07-13 00:21:28.319761708 +0800	/tmp/ifu-old-corrected.log
983674	regular file	2026-07-13 00:21:12.507446319 +0800	/tmp/ifu-old-corrected.vvp
228402	regular file	2026-07-12 10:27:59.315333327 +0800	/tmp/known-issues.json
13854	directory	2026-07-12 11:25:55.935492985 +0800	/tmp/lane1-owner-red-old
13789	directory	2026-07-12 11:28:20.195006258 +0800	/tmp/lane1-owner-red-old-v3
13881	directory	2026-07-12 11:29:10.291381357 +0800	/tmp/lane1-owner-red-old-v4
13881	directory	2026-07-12 11:29:22.309030366 +0800	/tmp/lane1-owner-red-old-v5
8703	regular file	2026-07-10 16:34:33.015117529 +0800	/tmp/lint.log
14159	directory	2026-07-12 11:46:27.298358621 +0800	/tmp/mem-issue-review-blocker-red
13812	directory	2026-07-12 11:41:11.226535911 +0800	/tmp/mem-issue-review-current
13921	directory	2026-07-12 11:50:17.936154897 +0800	/tmp/mem-issue-review-final
13924	directory	2026-07-12 11:47:20.535453839 +0800	/tmp/mem-issue-review-green-v2
30421	directory	2026-07-12 11:48:49.867852407 +0800	/tmp/mem-issue-review-round2
29866	directory	2026-07-12 11:48:57.980220178 +0800	/tmp/mem-issue-review-round2-valid
210728	regular file	2026-07-12 10:27:59.199333391 +0800	/tmp/npc-memory.json
196416	regular file	2026-07-12 10:27:59.091333450 +0800	/tmp/project-status.json
425	regular file	2026-07-11 22:07:55.441142523 +0800	/tmp/rv64-f0-precommit-strict-guard.log
2034845	directory	2026-07-13 00:33:37.665758433 +0800	/tmp/rv64-second-page-ad-build
21974	directory	2026-07-12 03:30:02.512872543 +0800	/tmp/rv64-t1-design-baseline
109009	regular file	2026-07-12 11:23:33.916435680 +0800	/tmp/t3refs.txt
686780	regular file	2026-07-13 00:15:15.883141758 +0800	/tmp/tb_attrs.vvp
186406	regular file	2026-07-13 00:07:27.274404718 +0800	/tmp/tb_axi_exec_firewall.vvp
1027244	regular file	2026-07-13 00:19:11.422222777 +0800	/tmp/tb_bridge.vvp
63800	regular file	2026-07-13 00:19:11.414309648 +0800	/tmp/tb_bridge_compile.log
276	regular file	2026-07-13 00:18:53.917748278 +0800	/tmp/tb_bridge_sim.log
634511	regular file	2026-07-12 21:32:10.320647722 +0800	/tmp/tb_fetch_ad_flush_partial.vvp
762637	regular file	2026-07-11 14:36:35.957369864 +0800	/tmp/tb_fetch_page_end_c_fault.vvp
765394	regular file	2026-07-12 22:14:28.613025176 +0800	/tmp/tb_fetch_page_end_c_fault_current
868012	regular file	2026-07-13 00:19:56.193626293 +0800	/tmp/tb_g2.vvp
63800	regular file	2026-07-13 00:19:56.185727814 +0800	/tmp/tb_g2_compile.log
1055	regular file	2026-07-13 00:19:56.264712592 +0800	/tmp/tb_g2_sim.log
1966	regular file	2026-07-13 00:03:52.834425654 +0800	/tmp/tb_ooo_fetch_access_footprint-old.log
